address,score
0x74EF51C27c9984f34b3F7F80E8259cC1bB04e37C,1.00
0x77B476429826C5ba77885D08F272d89D8F1Ed0e4,0.88
0xcAB28BE5F5315407d9faC010F8435628f0124017,0.80
0x76D84163bc0BbF58d6d3F2332f8A9c5B339dF983,0.69
0xE04885c3f1419C6E8495C33bDCf5F8387cd88846,0.35
0x0AB7C4123e84c975008fcfcb14f07152bb711F82,0.31
0x35B2A533F02234342d9352fb9Fbc1eE0C1703198,0.29
0x398137383B3D25C92898C656696e41950e47316B,0.29
0xdd3767ABcAB26f261e2508A1DA1914053c7DDa78,0.29
0xbC553aA555dDA86b9c9b5366447930B7cAf8da8b,0.29
0xCc39f4f4A764B118E1a39E2Def59559e0F886aa3,0.29
0x73677662f66088236dDFc95DA42e405Cf3F4ce13,0.28
0x47Ce377120ed597852839731BA7e9Ae301773385,0.24
0x536299a4fCF0d1d492596C2C816fc20F3F7Ec557,0.22
0xdBAb9585BB07278403284282073119cCA177b4c7,0.22
0xBD19a3F0A9CaCE18513A1e2863d648D13975CB30,0.22
0x21b02E9131D1BADE784a7874967DCb8Ef243F2A4,0.22
0x76E6c1D939eFf3727376d0aBEbc36d2b7af7BDd2,0.22
0x68F6F2Db8D5D28fb7d837675781C2d391f5F02c0,0.22
0xA11DA8B2D9A7883eb636d7de426025e5fD9fda1A,0.22
0x708621feA6a3e127f775886f4fcC5A7EDC6cc736,0.21
0x0611Ed2D84F338b8918E16e0BCAAD513265F60CB,0.20
0xA7a5A2745f10D5C23d75a6fd228A408cEDe1CAE5,0.19
0x224aBa5D489675a7bD3CE07786FAda466b46FA0F,0.19
0x14185559Bc21C98B9Dec8bAe14cE3Db172B506Af,0.19
0x1dF428833f2C9FB1eF098754e5D710432450d706,0.19
0xdf26c161C73D4d02d53aD21863df8623Db38f1ce,0.19
0xDF56f967cE2f81298AC177fF828897CB33ea2243,0.19
0x6eD68a1982ac2266ceB9C1907B629649aAd9AC20,0.19
0xcAa3a3c852442F06806170D137248bb21ddb0E1B,0.19
0x5952788924bF35B85d2BAA9509349baaF3159cD7,0.19
0x6897aBe0fD62B589260784B21F4ca3F78A0D8017,0.17
0x0e950e75B652878E6A3D3Ecb6E5797452A918A05,0.17
0x84fA671876c14bEe62f2f4C1B7209C7d68b02b78,0.17
0x0B96B6344b2a8d00B610992d0e6AfB90C24bcFA3,0.17
0x3E31155a1c17c9F85e74828447aec412090a4622,0.17
0x7137931f8e93928E835EC0946A8B78a8a8887900,0.17
0x7003849fC9F3c70b5E90619F01522be94a38816F,0.17
0xcb208d4A2BA7A51294Eff282B5a7C1531898D9dD,0.16
0xe9b33Dcb4fac16766CC56C2d4c18Fa2B6d9e1157,0.14
0x80c6faee58AE12c0812285C24085feF9B773a4D2,0.14
0xa14E5A31Af9758375598F8Fc877c86641198a168,0.14
0x652B97Bb2980cFfF724Ff9128b58DA51DaFE26bE,0.14
0x60566cb8D8dfb84d0B25A7cd3daE7C1eaDfbDb5F,0.14
0x5101A1B882F380839AF06B233F5dDaEE40941848,0.14
0xEe4Ea318D8f12a48Ad59932027ee467c70803670,0.14
0x2F45b4c0c23751339A4F95a7d91F22ea311AA7Ea,0.14
0xfcBc07905fee2D64025461B8DdB27F77f256827F,0.12
0xfa483C6f280782714813C484Ea05BaB55e9f81ad,0.12
0xe62d071Ea99A63798Fec7222c483c53e87F2A32E,0.12
0xc2615ad6938235dEb58aA48515727F1d0Ce598E6,0.12
0x1EC1CcEF3e1735bdA3F4BA698e8a524AA7c93274,0.12
0xbeC26FFa12c90217943D1b2958f60A821aE6E549,0.12
0xD2BC5cb641aE6f7A880c3dD5Aee0450b5210BE23,0.12
0x3eEFAa9d6e2ab7972C1001D41C82BB4881389257,0.12
0xEAde2cEeDeA3b8d0D1d10537f507b9d262870748,0.12
0xDA5b2cd0d0Bb26E79FB3210233dDABdB7de131C9,0.12
0xFCeDC13C1DD6ED4Cc2C063042bFa98ff0640C88E,0.12
0xeB52cd1e90f690b8E7Fb06aD7636428E58F667b1,0.12
0x56e3Dfe51274A3cC78bce719b63796A250B175C0,0.10
0x186e847B87354cfA7E7efA63093b4f17Df33671c,0.10
0x33D66941465ac776C38096cb1bc496C673aE7390,0.10
0x48c8bd589E8b81cfE13403Ec4884f71e676961db,0.10
0xCa0F403D2A602e4D8c0A6A984b973D7958FBF463,0.10
0x8fca51c7355bdb026eC2F78eEbf4B95cF93cAD1d,0.10
0x64316CBe450f89F6A8fC3dcbcd68045B493adFB7,0.10
0x64BC15E0A5A12dDbe321EEDD832d057775D11F56,0.10
0x91A3D6267317AcdFb6c4387f5Cc390C28FF63BC4,0.10
0x06Ce7AA062c3CfEF67152Ef45147213EE33D42A6,0.10
0x667Ea5905afDd6320607751F159bB742E8EA2126,0.10
0x66Ab0BC088212195b0d9e9FEB12F3f93fF6f8fF1,0.10
0xD12b78Df063fC4bC7bb12CF1f060B55a15dD759d,0.10
0xF44217A8b6b3f258BFFEaD635c226528aa516aea,0.10
0x67c5002827419b07B9956571423958a26626Ec2b,0.10
0x33878e070db7f70D2953Fe0278Cd32aDf8104572,0.10
0x99062cEda2362CE6d05AE40d4E2C991A921c8A48,0.10
0x6a932F0AE2A7A49fb24B70C8Eef6Ec0808163345,0.10
0x357843d6d1ECE85ABA4032EfA31a2e813F519261,0.10
0xD7ADf6fb56ef3fdb77f75495167783561744E34f,0.10
0x24bF6580ED276b6ff33269DD361eE00FE3a2c912,0.10
0x08f9edd4Feb42eFc388818e68dd525E87462fDb1,0.10
0xdC4EfDac43475F434482e61805E0df96D2dC1DF4,0.10
0xb7eE0B6889CD0590A590AAb01485EA164Db03307,0.10
0x378ff65Cb9E9B83B86AA2534c9991e5B28F1Ec92,0.10
0x38bc91AA6Aa434c4fae7E666F68C859292deEd95,0.10
0xe363fa6461c1A30d18C0CFF22F7dB95e5A54a900,0.10
0x7004A8b901d438B9563e8aE4130ee9Cb04C82De2,0.10
0xa54C60Bd2294a6c1c86e57787981AfAcf9ef86E7,0.10
0xe51513C5FF7318c56a48ff4773e710AC6955e007,0.10
0x1a3e6bFf390dADc331c05FDE1b043592DBb3A9Ed,0.10
0xe8E83Ddfc373BBBD22eDF5A80a30eC7DEd8f2b47,0.10
0x281eC184E704CE57570614C33B3477Ec7Ff07243,0.10
0x52217bAD145A7a80D510f24A9572781D260f33D3,0.10
0x1AEC250C13b1214C4B9935Db3C8a7610fdAaE8dD,0.10
0x2D2E4c335EEE674Bd8F2EB3622E4156EbAbC864d,0.10
0x5bC5d527587D15195e87DD53168596Eca3ee651D,0.10
0x0BB602F88BF886282fF69d4Cec937cc2A7d9E19A,0.10
0x1Df518f3442f0442195807b09292A0688c6aD40A,0.10
0x85952D1b79C953Bdcd5e108363C3b4EBFBbA3eAD,0.10
0x1E8eE48D0621289297693fC98914DA2EfDcE1477,0.10
0xBeC2635b44D26AcF54DDa59644ddB71FB0e0268D,0.10
0xbF27653C7009D0f5C54646198BDaE95e1A8C5AB5,0.10
0x8a09FB23E1c8d0FF9c9Fef0BcFc9b9e07B1f0667,0.10
0xc4Fc7F8eB43c106b7198B855aDB2860e38DA8b47,0.10
0x4718ce007293bCe1E514887E6F55ea71d9A992d6,0.10
0xc535CfdF454110F2D77064443C4310a2C4964b5A,0.10
0x20a7C35Ec4e979c67c0DDB5c5102A604E4E060A0,0.10
0x60a6348B8c7eb28D4B2CBEf648187A6d66c7d879,0.10
0x72f2c4dD290D1C08d5763c812028655CBde3FB53,0.08
0x58Ba947570D2f9b79882c444170a30827000B33a,0.08
0xb6b774Dcbd3091Fd2a0423A201791D07700c25ef,0.08
0x7EE9033aad1d11a80F1c1e8d769FeACBC97416dB,0.08
0xB78D439Ba83baCed629310207a215900e02d84A4,0.08
0xB9C62C6B68fa76bb5daD4279074ebDB6D72E3Fec,0.08
0x8242269882CD61dE8Ac878ac47D2A7432FC7BdEe,0.08
0xba0e393d0D47ae81a22f27D68BAC043BB64dDb31,0.08
0x82f9Be60fc43CE39BbE40DF22039380935FF58c8,0.08
0xBbc9368898422Cc9FfaBEf8ea66210D3D011512F,0.08
0x1e5E0982e0B81F041F4b2668E8E1f300682b6ffa,0.08
0x0E272eCeadBF50541f0a5C740082f177baF214d4,0.08
0x85524e962b11cB82EA7bAF3A00Ceff92C6368db2,0.08
0x0e5C4c325bA0Cf3eBc82f0B15c318D6620e896A7,0.08
0x148D424f74c323d3950A8562760Aa76E4C58615B,0.08
0x88bde89F94B5E5dD1ef3C054A39961BCbB33BC44,0.08
